data,generalisation
i would like to switch my insurance plan,id
help me find new insurance providers,id
i would like to compare insurance plan options,id
i need a new house insurance plan,id
i want to get a new car insurance plan,id
i need new health insurance,id
i want a new policy with long-term care insurance,id
i want a new motorcycle insurance plan,id
how do i adjust my insurance policy,id
my insurance policy needs to be adjusted,id
i am in need of a switch to my insurance plan,id
walk me through on how to change my insurance,id
i wish to request a change in insurance plans,id
i would like to alter my insurance plan,id
i need to know how to change my insurance,id
i want to switch my insurance coverage,id
help me change my insurance,id
how do i replace my insurance,id
i need help finding my mobile phone,id
help me figure out where my cell phone is,id
give me a hand finding my mobile device,id
i can't find my cell and need help locating it,id
can you help me find my cell,id
"help, i cannot find my phone",id
i can't seem to find my phone,id
are you able to track a phone,id
my phone cannot be found,id
i have misplaced my phone,id
i don't know where i left my phone,id
i left my phone somewhere,id
i am looking for my phone,id
i need you to find my phone,id
please locate my phone,id
can you help me find my lost phone,id
i need help figuring out where my phone is,id
please help me figure out where my lost phone is,id
"please help me find my phone, because i lost it",id
"i lost my phone, can you help me find it",id
who has seen my cellphone,id
have you seen my cellphone,id
can you find my cellphone,id
find my cellphone,id
please help me find my phone,id
where my phone,id
where was the last place i had my phone,id
can you find my iphone,id
i can't find my phone,id
"call my phone, i can't find it",id
can you find my lost phone,id
do you know where my phone is,id
can you help me find my cellphone,id
can you call my cellphone,id
my phone is lost - can you help me find it,id
where is my phone,id
ai can you help me find my phone,id
"ai, i lost my phone, help me find it please",id
"ai, please help me find my phone",id
ai locate my phone,id
ai find my phone,id
how can i find my phone,id
"my phone is lost, can you help with that",id
i need to locate my phone,id
find out where my phone is,id
help me find my phone,id
locate my phone please,id
what is the location of my phone,id
my phone is currently lost,id
i don't remember where my phone is,id
locate my phone for me,id
the location of my phone is unknown to me,id
find my phone,id
i need to find my phone,id
please aid in my searching for my lost phone,id
please help me locate my phone,id
where did i last place my phone,id
can you assist me in locating my phone,id
is my phone in the house,id
i lost my phone and need help retrieving it,id
help me search for my phone,id
misplaced my phone,id
can you help locate my phone,id
"i need my phone, but can't find it",id
i lost my phone and need assistance,id
i don't know where my phone is,id
i can't find my phone do you know where it is,id
please tell me where my phone is,id
can you help me find my phone,id
do you know where my phone is located now,id
can you track the location of my phone,id
where can i find my phone,id
can you locate my phone,id
do you know where i left my phone,id
where is my phone now,id
"alexa, tell me the location of my phone",id
"siri, where is my iphone",id
"siri, tell me where my iphone is",id
"siri, find my iphone",id
help me locate my phone,id
you need to help me find my cellphone,id
help me find my cellphone,id
please help me find my cellphone,id
where did i put my phone,id
tell me where my phone is,id
please find my phone,id
locate my phone,id
i would like some help finding my phone,id
i need to know where my phone is,id
i seemed to misplaced my phone,id
i lost my phone,id
i need some help finding my phone,id
can you locate my phone for me,id
i don't know where i put my phone,id
help find my phone,id
i would like to know where my phone is,id
i'd like help finding my fon,id
i can't locate my phone,id
can you tell me where i left my phone,id
can you please locate my phone,id
does ireland have any travel alerts i should be aware of,id
does north korea have any travel alerts i should be aware of,id
are there any travel alerts for russia,id
does spain have any travel alerts i should be aware of,id
are there any travel alerts for north korea,id
does macedonia have any travel alerts i should be aware of,id
are there any travel alerts for syria,id
are there any travel alerts for ukraine,id
does myanmar have any travel alerts i should be aware of,id
are there any travel alerts for china,id
is there a travel alert for russia,id
is there a travel alert for scotland,id
does russia have any travel alerts i should be aware of,id
is it safe to travel to iceland,id
is it safe to travel to russia,id
does italy have any travel alerts i should be aware of,id
does germany have any travel alerts i should be aware of,id
is there a travel alert for north korea,id
does china have any travel alerts i should be aware of,id
is there a travel alert for canada,id
is it safe to travel to norway,id
is it safe to travel to bermuda,id
is it safe to travel to argentina,id
does finland have any travel alerts i should be aware of,id
is there a travel alert for spain,id
have there been any travel alerts issued for france,id
tell me about any travel alerts issued for germany,id
are there any travel warnings for london,id
should i know about any travel alerts before traveling in the usa,id
are there any new travel warnings for the us,id
any travel advisories for portugal,id
can you tell me if germany issued any travel warnings,id
does france have any current travel alerts,id
does spain expect any travel alerts,id
i am going to australia and want to be notified of any travel alerts,id
"i am going to be traveling in turkey, are there any alerts",id
are there any alerts for traveling in belize,id
what alerts are listed for traveling to paris,id
i need to know about travel alerts for mexico,id
what travel alerts are there in china,id
are there any alerts for travelling to beirut,id
argentina travel alert yes or no,id
does argentina have a travel alert,id
is there a travel alert in argentina,id
list of countries with travel alerts,id
can traveling to nepal be safe (what's safe in x),id
will i be safe while traveling to lyon (will you be safe),id
how safe is it to travel to mongolia (how safe is mongolia),id
is it safe to travel to rio de janeiro (is rio de janeiro safe),id
is traveling to dublin safe (will dublin be safe),id
is new caledonia safer than other countries,id
is las vegas a safe place to visit,id
if i go to baltimore will i be safe,id
"can you give me the travel alerts for jalisco, mexico",id
what are the latest travel alerts for dubai,id
"are there any travel alerts i should know about for buenos aires, argentina",id
i need any relevant travel alerts for australia,id
are there travel notifications for columbia,id
where in the world is there a travel alert,id
what are today's travel advisories,id
can you list the places that there are travel alerts for,id
where are there current travel alerts,id
is there a travel alert for [country],id
if i got to indonesia is it safe,id
i am thinking of going to brazil and was wondering if that is hazardous,id
would it be safe to go to columbia,id
is mexico a safe place,id
what potential hazards are there for going to spain,id
does a travel alert exist for that country,id
inform me if there's a travel alert for the country,id
does the country have a travel alert,id
i'd like to see if there's a travel alert for the country,id
can you tell me if there's a travel alert for that country,id
any travel alerts for south korea,id
are there travel alerts for europe,id
what are the currect travel alerts in africa,id
can i safely travel to brazil,id
does japan have any travel alerts i should be aware of,id
is there travel alerts for greece,id
how safe is it to travel to germany,id
is it safe to travel to china,id
is it safe to fly to russia,id
does france have any travel alerts i should be aware of,id
look for travel alerts for china,id
does south korea have any travel alerts i should be aware of,id
is it dangerous to travel to mexico,id
any travel alerts for canada,id
any travel alerts for that country i should know about,id
are there any travel alerts in that region,id
i need to know the travel alerts for kenya,id
any alerts for travelers to canada,id
should i be worried about any travel alerts for that country,id
look up travel alerts for canada,id
is there a travel alert for that country,id
find if there are any travel alerts for canada,id
search for any travel alerts for canada,id
does kenya have any travel alerts right now,id
check travel alerts for kenya,id
do i need to read any travel alerts for kenya,id
search for travel alerts for kenya,id
how do i put in a pto request for the first to the ninth,id
am i allowed to put in a pto request for now to april,id
is there a time i can put in a pto request for dec 2 to new years,id
when can i put a pto request in for feb 22 to march 1,id
i need a pto request on march 1 to 2,id
on march 1-2 i want a pto request made for me,id
schedule a pto request for me on march 1-2,id
for march 1 to 2 make a pto request for me,id
i want to schedule a pto request on march 1-2,id
"between october 7th and october 10th, i'd like for there to be a pto request for me",id
i need a pto request for the dates jan 15th to jan 20th,id
let's do a personal pto request for the dates may 12th to may 15th,id
can you set up a pto request for me for march 20th to april 12th,id
i'd like for their to be a pto request for me made for the dates june 4th to june 8th,id
i'd like to go on vacation,id
create a pto request for march 21st to march 26th,id
i need to put in a pto request from the 8th to the 17th of january,id
can you put in a pto request for the 5th of june to june 8th,id
"from december 22nd to the 25th, make me a pto request",id
i need a pto request put in for the weekend of june 1st to june 2nd,id
how do i schedule vacation days,id
put in a pto request for march 4 to march 6,id
i need to put in a pto request for march 4 to march 6,id
how do i use my vacation days,id
how do i put in for vacation,id
how can i schedule a vacation request,id
can you put in a pto request for march 4 to march 6 for me,id
put in for time off march 4 to march 6,id
where do i make a vacation request,id
can i take pto form march 4 to march 6,id
may i take a pto on february 7 and 8,id
please tell me how to submit a vacation request,id
"can i take a pto for two days, starting on february 7",id
i would like to know how to make a vacation request,id
please tell me how to go about asking for a vacation,id
can you tell me how to make a vacation request,id
i would like to request a pto on february 7 and 8,id
i would like to take a paid time off for february 7 and 8,id
would you be able to tell me how to make a vacation request,id
"is it possible for me to take a pto for two days, starting february 7",id
i want to put in a request for pto from may 5 to may 12,id
i want you to make me a pto request for me for april twenty through may two,id
i want to request pto from november 7 to 11,id
how can i request a vacation from work,id
how do i request vacation time,id
what do i need to do to request vacation time off,id
can you put in a pto request for me for july second and third,id
what do i need to do if i want to ask for vacation time,id
put in a pto request for me i want it for the ninth and the tenth of august,id
how do i ask to have a vacation,id
can you schedule a vacation for next week,id
i'd like to make a vacation request,id
what do i do to request a vacation,id
how can i make a vacation request,id
how do i book a vacation,id
what is the process for requesting a vacation,id
"i want to schedule a vacation, can i request that through you",id
can i put in a vacation request with you,id
"i need to set up a vacation request, what do i need to give you",id
"i need to take some time off, can i have the next week off",id
what do i need to make a vacation request with you,id
i need a pto request for march 3rd and 4th,id
would it be possible to make a pto request for january 15th and 16th,id
please put in a pto request for june 5th and 6th,id
set a pto request for april 1st and 2nd,id
i would like to make a pto request for july 17th and 18th,id
submit a request for pto for the dates may 5th to the 12th,id
please place a pto request for february 18th to the february 25th,id
i would like you put in a pto request for the dates july 4th to the 8th,id
i need to submit a request for pto for june 12th to june 14th,id
can you put in a pto request for march 7th to the 9th,id
i'd like to take a vacation day from 2/24 to 2/25,id
i'd like to schedule some pto from 2/22 to 2/25,id
make a pto request from april 2 to april 4,id
request pto from march 8th until march 11th,id
please request pto for me from march 3rd to march 7th,id
could you submit a pto request for me from dates oct thirty to nov second,id
"could you submit a pto request for me from dates mar 3 to 9, please",id
"could you submit a pto request for me for dates april 21 to 30, please",id
"can you submit a pto request for me from dates nov 2 to 10, please",id
could you submit a pto request for me for dates june 11 to 14,id
please make a pto request for me from dates jan 21 to begininning of february,id
please make a pto request for dates tomorrow to the twentieth,id
please make a pto request from dates september 1 to 15,id
make a pto request for dates november 11 to black friday,id
make a pto request from dates may 3 to 9,id
i want to put in a pto request for march 1-8,id
how can i go about requesting a vacation,id
can you put in a pto request for me from march 1-7,id
please assist me by making a pto request for march 11-18,id
would i be able to put in a pto request for march 21-26,id
create for me a pto request for march 16-21,id
what steps should i take if i want to request vacation,id
tell me how to request vacation,id
i'm intereted in requesting pto from april 1-5,id
i need help making a pto request for march 3-10,id
am i able to place a pto request for february 20-25,id
can i request pto from march 9-16,id
what is the protocol for requesting a vacation,id
i want help making a pto request for february 22-27,id
what steps should i take to improve my credit score,id
give me a recommendation to improve my credit score,id
what can i do to raise my credit score,id
steps to raise my credit score,id
is there a quick way to improve my credit score,id
what are ways to improve my credit,id
how to keep my credit score from going down,id
what are some ways to increase my credit,id
what can i do to keep my score from dropping,id
how do i build my credit score,id
how can i build my credit,id
what are ways to improve my credit score,id
"i want to keep my credit score from going down, how do i do that",id
what can i do to improve my credit score,id
how can i keep my credit score from going down,id
how can i improve my credit score,id
how do i keep my credit score from dropping,id
how to improve my credit score,id
what are some way s i can do to improe my credit score,id
how to keep my credit up,id
how to keep my credit from dropping,id
"i want to keep my credit from going down, how do i do this",id
my credit is going down what should i do,id
how do i maintain my credit score,id
how can i build credit,id
how do i keep good credit,id
what are ways to build credit,id
how to build up my credit score,id
what can i do to keep my credit in good standing,id
how do i keep my credit from lowering,id
give me some ways to build my credit score,id
what can i do to maintain good credit,id
can you tell me some tricks and tips i can use to see an increase in my credit score,id
are there ways for me to make my credit score better,id
i need a list of different methods for building my credit score,id
what are some of the ways that i can see an improvement in my credit score,id
what methods can i use to improve my credit score,id
what are some tips to build my credit score,id
help me build my credit score by showing me some ways on how to,id
show me some ways to build my credit score,id
what are the best ways to build my credit score,id
what are some steps to building my credit score,id
will doing this hurt my credit score,id
tell me all the ways my credit score can get hurt,id
